Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;PowerPlan;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;NumEntities;DomainClient;total;concurrent;depth;Mean;Error;StdDev;Gen 0;Gen 1;Gen 2;Allocated
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;40;1;?;539.0 us;8.698 us;7.711 us;21.8750;-;-;67.54 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;40;?;1;538.7 us;5.638 us;4.708 us;21.8750;-;-;67.46 KB
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;40;2;?;356.0 us;3.599 us;3.190 us;21.4844;3.9063;-;68.72 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;40;?;2;284.7 us;3.057 us;2.859 us;21.4844;3.1250;-;68.46 KB
RunBenchmarksAsyncParallel;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;40;4;?;280.9 us;4.080 us;3.617 us;20.7031;4.6875;-;68.76 KB
PipelinedLoadAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;40;?;4;208.7 us;4.123 us;4.411 us;20.3125;5.0781;-;69.05 KB
GetCititesUniqueContext;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;?;?;?;"3,048.2 us";59.723 us;79.728 us;207.0313;97.6563;-;650.59 KB
GetCititesReuseContext;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;?;?;?;554.9 us;9.204 us;8.609 us;21.4844;-;-;67.52 KB
InvokeAsync;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;?;?;?;559.5 us;6.927 us;6.480 us;16.6016;-;-;51.29 KB
Submit;Default;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;WcfBinary;?;?;?;"5,071.6 us";72.531 us;67.846 us;289.0625;93.7500;-;996.56 KB
